Country,Version,Gender,Age,Marital_Status,Cares_for_Dependents,Institution_Type,Subject_Area,Contract_Duration,Employment_Hours_HE,Avg_Work_Hours_HE,Effort_Comparison,Effort [%],Income EURO,Euro Adj.,Salary/hour,Salary effort/hour,Holds_Leadership_Position,Policy_Influence,Has_Other_Job,Avg_Work_Hours_Other,Academic/Non-academic,Job_Description_Category,Education_Level,Career_Length_HE,Effort_Teaching_Desc,Effort_Research_Desc,Effort_External_Projects_Desc,Effort_Org_Admin_Desc,Teaching %,Research %,Activities related to externally funded research projects %,Organisational and administrative activities %,Vulnerability,Academic_Resources,Performance_Pressure,Perceived_Autonomy,Quality_Leadership,Sense_Community,Job_Satisfaction,WM_Amotivation,WM_Extrinsic_Social,WM_Extrinsic_Material,WM_Introjected_Motivation,WM_Identified_Motivation,WM_Intrinsic_Motivation,Burnout_Score,VB_Subjective_Significance,VB_Professional_Ambition,VB_Tendency_Exertion,VB_Striving_Perfection,VB_Emotional_Distancing,VB_Resignation_Tendency,VB_Offensive_Coping,VB_Mental_Stability,VB_Satisfaction_Work,VB_Satisfaction_Life,VB_Social_Support,Current_Position
1,3,2.0,31.0,3.0,1.0,4.0,1.0,3.0,40,40.0,1.0,100.0,2700.0,2386.8,15.57692307692308,15.57692307692308,1.0,1.0,1.0,,2,,,,3.0,36.0,3.0,3,,,,,4,5,5,3,4,4,2,6,4,5,6,5,3,5,2,3,5,4,2,4,2,2,3,1,1,8.0
1,3,2.0,32.0,1.0,1.0,4.0,5.0,3.0,30,37.0,3.0,123.3333333333333,2762.0,2441.608,21.24615384615385,17.22661122661123,1.0,1.0,1.0,,2,,,,9.0,25.0,2.0,5,,,,,4,3,3,3,2,3,2,4,4,5,5,4,4,4,3,3,3,3,3,4,2,2,2,2,2,9.0
1,3,2.0,28.0,2.0,1.0,4.0,5.0,3.0,30,38.0,3.0,126.6666666666667,3400.0,3005.6,26.15384615384615,20.64777327935223,1.0,2.0,1.0,,2,,,,14.0,14.0,0.0,10,36.84210526315789,36.84210526315789,0.0,26.31578947368421,3,4,4,4,3,5,3,1,5,3,7,7,6,3,3,5,4,4,2,2,4,4,4,4,4,9.0
1,3,2.0,32.0,1.0,1.0,4.0,1.0,3.0,40,60.0,3.0,150.0,5000.0,4420.0,28.84615384615385,19.23076923076923,1.0,1.0,1.0,,2,,,,3.0,40.0,3.0,14,5.0,66.66666666666666,5.0,23.33333333333333,3,4,5,3,3,5,3,3,2,3,5,7,7,4,4,5,5,5,1,3,3,2,3,2,5,11.0
1,3,1.0,45.0,1.0,1.0,4.0,2.0,3.0,40,42.8,3.0,109.0,4200.0,3712.8,24.23076923076923,20.18464632100881,3.0,1.0,1.0,,2,,,,6.0,6.0,2.0,2,,,,,3,3,3,3,3,5,3,1,3,2,5,6,5,3,3,4,4,2,2,3,3,3,3,4,4,8.0
1,3,2.0,54.0,3.0,1.0,4.0,5.0,6.0,40,50.0,3.0,125.0,3800.0,3359.2,21.92307692307692,17.53846153846154,1.0,3.0,1.0,,2,,,,30.0,5.0,1.0,14,60.0,10.0,2.0,28.0,3,3,4,4,2,5,3,1,5,3,6,7,6,4,4,3,5,3,2,2,4,3,3,2,4,10.0
1,3,1.0,36.0,3.0,1.0,4.0,1.0,3.0,40,40.0,1.0,100.0,4600.0,4066.4,26.53846153846154,26.53846153846154,1.0,2.0,1.0,,2,,,,4.0,10.0,10.0,16,10.0,25.0,25.0,40.0,3,5,5,2,2,3,4,4,4,2,1,1,5,4,4,3,5,3,2,2,3,4,5,5,4,10.0
1,3,1.0,34.0,1.0,2.0,4.0,2.0,3.0,40,50.0,3.0,125.0,4351.0,3846.284000000001,25.10192307692308,20.08153846153846,1.0,1.0,1.0,,2,,,,0.0,25.0,10.0,15,0.0,50.0,20.0,30.0,3,3,5,3,3,3,2,1,4,4,5,5,6,4,3,5,5,4,2,3,3,2,4,2,2,8.0
2,2,1.0,32.0,3.0,1.0,1.0,8.0,2.0,40,40.0,1.0,100.0,1874.687552074654,2077.153807698717,10.815505108123,10.815505108123,1.0,2.0,1.0,,2,,,,5.0,20.0,5.0,10,12.5,50.0,12.5,25.0,2,4,2,4,4,4,3,2,3,2,5,5,6,2,2,3,2,4,5,2,4,4,3,4,4,7.0
2,2,1.0,35.0,1.0,2.0,1.0,5.0,1.0,56,30.0,2.0,53.57142857142856,4165.972337943675,4615.897350441592,17.16746842559207,32.0459410611052,1.0,1.0,1.0,,2,,,,15.0,15.0,0.0,0,50.0,50.0,0.0,0.0,2,3,3,3,3,4,4,3,2,3,2,4,4,2,1,2,1,1,4,3,1,2,3,4,3,9.0
